,Date,Close,High,Low,Open,Volume
0,2014-01-02,5982.72119140625,5982.72119140625,5922.197205556286,5922.197205556286,80300
1,2014-01-03,5946.40087890625,5969.824542302601,5902.252076856275,5969.824542302601,74900
2,2014-01-06,5984.271484375,5991.43956331532,5930.984891549724,5948.860666727847,77800
3,2014-01-07,5945.9111328125,5990.389930829449,5945.191591258031,5984.641408885471,68800
4,2014-01-08,5984.94091796875,5993.528553358171,5941.152373761051,5946.770557918444,55900
5,2014-01-09,5935.9833984375,5992.909190337957,5935.9833984375,5988.77988104674,60700
6,2014-01-10,5841.3779296875,5962.876962918521,5841.3779296875,5937.673482377739,38600
7,2014-01-13,5939.142578125,5954.088929748544,5884.536503746764,5884.536503746764,93600
8,2014-01-14,5934.0341796875,5943.771421944549,5909.440406079821,5943.771421944549,89000
9,2014-01-15,5956.58837890625,5967.625579749626,5936.803427549238,5936.803427549238,55600
10,2014-01-16,5980.7021484375,5998.0375339630245,5970.8545833269345,5976.422975495488,44900
11,2014-01-17,5985.55078125,6006.6757204957885,5959.447629862592,5991.54923886877,98800
12,2014-01-20,6004.05615234375,6018.202416970196,5986.850615816481,5986.850615816481,0
13,2014-01-21,6017.69287109375,6029.4198361418885,5982.351860870626,6005.045732498771,57800
14,2014-01-22,6138.28125,6145.599680381712,6018.852003294602,6018.852003294602,88600
15,2014-01-23,6168.4638671875,6179.1412977573145,6138.162087587504,6143.580616336416,71500
16,2014-01-24,6189.908203125,6194.047275439859,6094.022704791014,6164.994688009875,88600
17,2014-01-27,6080.04638671875,6183.989872621026,6034.428234558813,6183.989872621026,107400
18,2014-01-28,6021.26171875,6078.816742958163,6021.26171875,6078.597072882815,91200
19,2014-01-29,6068.279296875,6088.824306393725,6021.711194419413,6021.711194419413,104600
20,2014-01-30,6039.63671875,6060.231520009562,5982.581567492178,6060.231520009562,70600
21,2014-02-03,6013.75341796875,6040.946620775117,5988.250210281682,6040.216827966523,57600
22,2014-02-04,5884.49658203125,6009.924777702864,5884.49658203125,6009.924777702864,100300
23,2014-02-05,5906.89111328125,5928.55546385338,5898.093082853997,5905.641434654286,61500
24,2014-02-06,5913.0693359375,5944.181452843905,5902.322099520337,5902.322099520337,51200
25,2014-02-07,6009.5947265625,6019.132312966615,5917.908343432511,5917.908343432511,80900
26,2014-02-10,6040.69677734375,6061.941314812169,6010.004473832965,6010.004473832965,76000
27,2014-02-11,6104.4599609375,6109.408883584002,6048.314731287919,6048.314731287919,69300
28,2014-02-12,6110.73876953125,6145.149843090923,6098.132147862429,6106.079811265723,129600
29,2014-02-13,6100.15185546875,6116.557305568491,6077.047444089552,6116.557305568491,66100
30,2014-02-14,6112.08837890625,6117.7568430857755,6091.413519847049,6105.869763234275,44900
31,2014-02-18,6192.3779296875,6201.595286133057,6166.5842692052,6166.5842692052,81000
32,2014-02-19,6293.001953125,6293.001953125,6196.066917778143,6196.066917778143,92800
33,2014-02-20,6351.12646484375,6351.756673868472,6275.426205897391,6311.287100842497,102100
34,2014-02-21,6306.73828125,6356.265585903096,6295.631273791033,6350.1372787945875,84100
35,2014-02-24,6294.701171875,6371.031641515525,6294.701171875,6328.102739071516,106700
36,2014-02-26,6320.974609375,6326.832966133784,6259.5704780547885,6292.8519585231115,85700
37,2014-02-27,6353.15625,6353.15625,6321.824463588421,6321.824463588421,99100
38,2014-02-28,6423.33837890625,6423.33837890625,6359.074631831801,6360.424382379943,101000
39,2014-03-03,6405.873046875,6427.187391100334,6369.12224173096,6423.198670520776,62700
40,2014-03-04,6392.9560546875,6411.321448942911,6384.328390606108,6399.514426699127,79400
41,2014-03-05,6454.48046875,6480.4835480927995,6398.024770599627,6398.024770599627,105300
42,2014-03-06,6515.14453125,6518.653882767685,6486.272072651444,6486.272072651444,101600
43,2014-03-07,6480.16357421875,6549.255669083406,6480.16357421875,6527.171504718774,73600
44,2014-03-10,6485.5625,6499.489095162695,6475.24532839344,6478.664371210206,49200
45,2014-03-11,6527.9013671875,6534.239581006491,6483.852636137234,6483.852636137234,88000
46,2014-03-12,6460.80908203125,6522.992801062425,6460.80908203125,6522.992801062425,89100
47,2014-03-13,6428.13720703125,6463.558275185494,6413.9509132697185,6463.558275185494,59300
48,2014-03-14,6389.59716796875,6421.528898223046,6342.219214353557,6421.528898223046,47900
49,2014-03-17,6398.3447265625,6401.00371070139,6370.061961179895,6387.797146189999,80700
50,2014-03-18,6464.88720703125,6469.456344470193,6398.144605834455,6398.144605834455,72700
51,2014-03-19,6460.8291015625,6486.242489444444,6454.670528732715,6474.51552407587,103500
52,2014-03-20,6415.7001953125,6447.851595022429,6401.363550184266,6447.851595022429,67000
53,2014-03-21,6337.6298828125,6439.973679688057,6337.6298828125,6431.61596580563,67100
54,2014-03-24,6399.0244140625,6401.403685045956,6364.203290182347,6368.7724277295665,52900
55,2014-03-25,6334.7109375,6383.0886343878565,6329.142545136502,6383.0886343878565,56800
56,2014-03-26,6346.8681640625,6349.377284570426,6322.824541203082,6335.051378043944,62100
57,2014-03-27,6314.06640625,6359.634767387633,6306.298384109374,6348.0879317366325,86400
58,2014-03-28,6357.9853515625,6357.9853515625,6308.587896389527,6317.005653890146,76600
59,2014-03-31,6427.05712890625,6427.05712890625,6372.511097794377,6372.511097794377,102900
60,2014-04-01,6513.04541015625,6513.04541015625,6422.248445747969,6427.90714688464,115300
61,2014-04-02,6586.02685546875,6601.122583521493,6514.045362914577,6514.045362914577,163400
62,2014-04-03,6585.38671875,6616.828340915785,6550.045708643706,6588.385947531484,101600
63,2014-04-04,6559.513671875,6624.306583214134,6559.513671875,6605.361747109557,155500
64,2014-04-07,6612.69970703125,6615.589100856166,6556.464165786048,6560.703310231997,72700
65,2014-04-08,6585.796875,6613.1096764712665,6572.260316497056,6613.1096764712665,74300
66,2014-04-10,6637.18359375,6651.049657434172,6614.249549111871,6614.249549111871,170000
67,2014-04-11,6595.26416015625,6633.784529081947,6568.911072886528,6633.784529081947,74700
68,2014-04-14,6587.85595703125,6599.183122752998,6570.8305493912985,6595.813871856105,37800
69,2014-04-15,6619.9580078125,6627.995980121406,6591.425305185539,6591.425305185539,63700
70,2014-04-16,6669.46533203125,6673.853852098508,6625.736341194209,6625.7866212350245,75900
71,2014-04-21,6765.77001953125,6767.130021383679,6697.85779494044,6697.85779494044,103100
72,2014-04-22,6783.2060546875,6813.507833615924,6779.536588047603,6782.735960717269,160700
73,2014-04-23,6767.77978515625,6796.792344537385,6764.470577476262,6794.203166556171,84200
74,2014-04-24,6729.599609375,6765.260361340874,6724.101023297362,6764.690683610706,54600
75,2014-04-25,6683.38134765625,6731.418798661591,6683.38134765625,6728.6797569609735,46100
76,2014-04-28,6602.65234375,6690.499872517369,6602.65234375,6690.499872517369,75700
77,2014-04-29,6634.744140625,6664.456227036919,6607.27122452773,6607.27122452773,59500
78,2014-04-30,6706.185546875,6708.324645207077,6650.319542671924,6650.319542671924,70800
79,2014-05-02,6741.23681640625,6750.384366607558,6706.18577061381,6706.18577061381,62400
80,2014-05-05,6764.720703125,6771.149226087268,6721.271913180461,6736.538007690219,22000
81,2014-05-06,6764.19091796875,6770.109318061806,6748.034915867149,6765.590460451989,32400
82,2014-05-07,6746.77490234375,6763.680711440055,6740.956574247802,6763.441026978682,59900
83,2014-05-08,6763.470703125,6787.724719998492,6749.254632290948,6749.254632290948,66600
84,2014-05-09,6845.49951171875,6852.068135160844,6765.080249347022,6765.080249347022,114700
85,2014-05-12,6809.5888671875,6840.941157011511,6800.131338101921,6833.522654404226,61700
86,2014-05-13,6851.04833984375,6870.2631254036005,6810.148700766809,6810.148700766809,75900
87,2014-05-14,6878.67138671875,6904.854596238081,6867.484321585456,6867.484321585456,118300
88,2014-05-15,6847.5693359375,6894.1872317087955,6840.660956066137,6877.861351520988,139700
89,2014-05-16,6815.95751953125,6848.099157982813,6785.925202036344,6848.099157982813,138100
90,2014-05-19,6869.1337890625,6876.741696285475,6816.4075993248825,6816.4075993248825,123700
91,2014-05-20,6880.96044921875,6906.81366399914,6872.8326565771185,6877.171384565036,106700
